site;type;ancienne_adresse;nouvelle_adresse;code;clics_12m;motif
fr;page;/nos-competences/creation-immersive-realite-virtuelle/;/savoir-faire/creation-immersive-realite-virtuelle/;301;9;savoir-faire — seul le segment change
fr;actualité;/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/;/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/;200;9;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/printemps-nouvelle-identite/;/realisations/printemps-nouvelle-identite-reportage-video-evenement/;301;9;apparié sur le titre — sûr
fr;actualité;/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;/actualites/video-mapping-lyon-intercontinental-grand-hotel-dieu/;200;8;adresse conservée — c’est une actualité
fr;actualité;/actualites/animation-3d-grande-arche-de-la-defense/;/actualites/animation-3d-grande-arche-de-la-defense/;200;7;adresse conservée — c’est une actualité
fr;page;/realisation-film-sante/;/offres/film/;301;6;page de secteur → pilier
fr;réalisation;/nos-realisations/amplitude-amplivision/;/realisations/amplitude-amplivision-video-studio/;301;6;apparié sur le titre — sûr
fr;actualité;/actualites/bluevista-video-showreel-2023/;/actualites/bluevista-video-showreel-2023/;200;5;adresse conservée — c’est une actualité
fr;actualité;/actualites/carte-de-voeux-video/;/actualites/carte-de-voeux-video/;200;4;adresse conservée — c’est une actualité
fr;page;/nos-competences/studio-fond-vert-compositing/;/savoir-faire/studio-fond-vert-compositing/;301;4;savoir-faire — seul le segment change
fr;réalisation;/nos-realisations/qwartz/;/realisations/qwartz-video-de-presentation-centre-commercial/;301;4;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/tetro-grand-hotel-dieu/;/realisations/tetro-grand-hotel-dieu-video-event/;301;4;apparié sur le titre — sûr
fr;page;/bluevista-agence-metaverse/;/savoir-faire/creation-immersive-realite-virtuelle/;301;3;métavers → immersion
fr;page;/film-d-entreprise-paris-15-ans-d-experience/;/savoir-faire/video-corporate-film-dentreprise/;301;3;page d’ancienneté
fr;page;/video-promotionnelle/;/offres/film/;301;3;page de produit → pilier
fr;actualité;/actualites/50ans-de-lpa-une-histoire-lyonnaise/;/actualites/50ans-de-lpa-une-histoire-lyonnaise/;200;3;adresse conservée — c’est une actualité
fr;page;/nos-competences/video-aerienne-drone/;/savoir-faire/video-aerienne-drone/;301;2;savoir-faire — seul le segment change
fr;page;/realisation-video-geneve/;https://www.bluevista.ch/realisation-video-geneve/;301;2;⚠️ part vers le site suisse
fr;réalisation;/nos-realisations/hitachi-cs-net/;/realisations/hitachi-cs-net-video-3d/;301;2;apparié sur le titre — sûr
fr;actualité;/actualites/koesio-carte-de-voeux-2023/;/actualites/koesio-carte-de-voeux-2023/;200;2;adresse conservée — c’est une actualité
fr;actualité;/actualites/guitare-en-scene-2023/;/actualites/guitare-en-scene-2023/;200;2;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/bluevista-showreel-2025/;/realisations/bluevista-showreel-2025/;301;2;apparié sur le titre — sûr
fr;actualité;/actualites/realisation-immersion-360-degres-dameuse-pisten-bully/;/actualites/realisation-immersion-360-degres-dameuse-pisten-bully/;200;2;adresse conservée — c’est une actualité
fr;actualité;/actualites/bluevista-le-motion-design/;/actualites/bluevista-le-motion-design/;200;2;adresse conservée — c’est une actualité
fr;actualité;/actualites/projet-de-realisation-video-360/;/actualites/projet-de-realisation-video-360/;200;2;adresse conservée — c’est une actualité
fr;actualité;/actualites/barpi-prevention-accidents/;/actualites/barpi-prevention-accidents/;200;2;adresse conservée — c’est une actualité
fr;actualité;/actualites/showroom-virtuel-gf-machining-solutions/;/actualites/showroom-virtuel-gf-machining-solutions/;200;2;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/radisson-360-vr/;/realisations/radisson-blu-video-360-vr/;301;2;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/artcurial-mapping/;/realisations/artcurial-video-mapping/;301;2;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/irisolaris-aftermovie-irisdays-2024/;/realisations/irisolaris-aftermovie-irisdays-2024/;301;2;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/koesio-convention-2024/;/realisations/koesio-convention-2024/;301;2;apparié sur le titre — sûr
fr;page;/nos-competences/video-corporate-film-dentreprise/;/savoir-faire/video-corporate-film-dentreprise/;301;1;savoir-faire — seul le segment change
fr;page;/realisation-film-lancement-produit/;/offres/film/;301;1;page de produit → pilier
fr;réalisation;/nos-realisations/dromis-equans-ineo/;/realisations/dromis-equans-ineo-reportage-video/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/bluevista-showreel-2020/;/realisations/bluevista-showreel-video-2020/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/olinn-video-publicitaire/;/realisations/olinn-video-publicitaire/;301;1;apparié sur le titre — sûr
fr;page;/realisation-film-evenementiel/;/offres/evenement/;301;1;page de secteur → pilier événementiel
fr;actualité;/actualites/animation-3d-produit-hitachi-csnet-manager/;/actualites/animation-3d-produit-hitachi-csnet-manager/;200;1;adresse conservée — c’est une actualité
fr;actualité;/actualites/mase-4-motions/;/actualites/mase-4-motions/;200;1;adresse conservée — c’est une actualité
fr;actualité;/actualites/mapping-printemps-lyon/;/actualites/mapping-printemps-lyon/;200;1;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/pisten-bully-dameuse-360-vr/;/realisations/pisten-bully-dameuse-video-360-vr/;301;1;apparié sur le titre — sûr
fr;actualité;/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;/actualites/inauguration-intercontinental-lyon-grand-hotel-dieu/;200;1;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/hitachi-hikumo/;/realisations/hitachi-hikumo-video-tuto-3d/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/deko-film-de-presentation/;/realisations/deko-film-de-presentation/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/arrow-abox-memo/;/realisations/arrow-abox-memo-animation-3d/;301;1;apparié sur le titre — sûr
fr;actualité;/actualites/vercors-les-chemins-de-la-liberte/;/actualites/vercors-les-chemins-de-la-liberte/;200;1;adresse conservée — c’est une actualité
fr;page;/realisation-film-industrie/;/offres/film/;301;1;page de secteur → pilier
fr;actualité;/actualites/bluevista-video-showreel-2021/;/actualites/bluevista-video-showreel-2021/;200;1;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/mapping-audi/;/realisations/video-mapping-vehicule-audi-a8/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/hitachi-yutaki/;/realisations/hitachi-yutaki-video-produit-3d/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/elistair-orion/;/realisations/elistair-drone-orion-video-produit-en-animation-3d/;301;1;apparié sur le titre — sûr
fr;actualité;/actualites/santos-i-grind/;/actualites/santos-i-grind/;200;1;adresse conservée — c’est une actualité
fr;page;/realisation-film-territoires/;/offres/film/;301;1;page de secteur → pilier
fr;réalisation;/nos-realisations/gloupii/;/realisations/gloupii-motion-design/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/40-ans-siparex/;/realisations/40-ans-siparex-videomapping/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/hitachi-film-catalogue-2021/;/realisations/hitachi-film-catalogue-2021/;301;1;apparié sur le titre — sûr
fr;actualité;/actualites/blueverse/;/actualites/blueverse/;200;1;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/koesio-voeux-2024/;/realisations/koesio-carte-de-v-ux-video-2024/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/tetro-fete-des-lumieres-2021/;/realisations/tetro-video-fete-des-lumieres-lyon-2021/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/tetro-stalactite-light-show/;/realisations/tetro-stalactite-light-show-video/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/isara-interviews-detudiants/;/realisations/isara-interviews-d-etudiants/;301;1;apparié sur le titre — ⛔ à vérifier
fr;réalisation;/nos-realisations/icsi-briefing-debriefing-minute-darret/;/realisations/icsi-briefing-debriefing-minute-d-arret/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/bos/;/realisations/bos-equipement-video-corporate/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/spc/;/realisations/spc-video-publicitaire-tournage-studio/;301;1;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/araymond-share/;/realisations/araymond-share-motion-design-site-internet/;301;1;apparié sur le titre — sûr
fr;actualité;/actualites/stann/;/actualites/stann/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/bluevista-creative-la-pizza/;/realisations/bluevista-creative-video-la-pizza/;301;0;apparié sur le titre — sûr
fr;page;/realisation-de-film-evenements/;/offres/evenement/;301;0;page de secteur → pilier événementiel
fr;actualité;/actualites/aravi-saison-2022-2023/;/actualites/aravi-saison-2022-2023/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/bluevista-creative-unicorn-team/;/realisations/bluevista-creative-unicorn-team/;301;0;apparié sur le titre — sûr
fr;page;/actualites/;/actualites/;200;0;⛔ index conservé — les actualités gardent leur adresse
fr;réalisation;/nos-realisations/cera-agence-innovation/;/realisations/cera-agence-innovation-motion-design/;301;0;apparié sur le titre — sûr
fr;page;/nos-competences/;/offres/film/;301;0;index sans équivalent — renvoyé sur le pilier principal
fr;actualité;/actualites/sport-boules-16eme-trophee-emile-terrier/;/actualites/sport-boules-16eme-trophee-emile-terrier/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/show-reel-motion-design/;/actualites/show-reel-motion-design/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/bluevista-creative-un-monde-virtuel-1-la-moto/;/realisations/bluevista-creative-un-monde-virtuel-1-la-moto/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/serl-video-360-vr/;/realisations/serl-parc-puy-d-or-video-360-vr/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/koesio-voeux-2023/;/realisations/koesio-carte-de-v-ux-video-2023/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/bluevista-video-showreel-2020/;/actualites/bluevista-video-showreel-2020/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/peninsula-octobre-rose/;/actualites/peninsula-octobre-rose/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/assisqual/;/realisations/assisqual-motion-design/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/nos-dernieres-interviews/;/actualites/nos-dernieres-interviews/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/;/realisations/bluevista-creative-une-vraie-equipe-1-la-flexibilite/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/gf-gs/;/realisations/gf-customer-services-video-promotionnelle-3d/;301;0;apparié sur le titre — ⛔ à vérifier
fr;réalisation;/nos-realisations/presentation-video-cpro-en-1-minute/;/realisations/presentation-video-cpro-en-1-minute/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/guitare-en-scene-edition-2023/;/realisations/guitare-en-scene-edition-2023-video-evenement/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/alorem/;/realisations/alorem-video-produit/;301;0;apparié sur le titre — sûr
fr;page;/realisation-de-film-banques-assurances/;/offres/film/;301;0;page de secteur → pilier
fr;réalisation;/nos-realisations/gf-ds-family/;/realisations/gf-ds-family-video-corporate-3d-motion-design/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/bbgr-360/;/realisations/bbgr-video-360-usine/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/equita-lyon-dailynews/;/actualites/equita-lyon-dailynews/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/guitare-en-scene-edition-2024/;/realisations/guitare-en-scene-edition-2024-video-evenement/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/film-corporate-gf-core/;/realisations/film-corporate-gfms-core/;301;0;apparié sur le titre — ⛔ à vérifier
fr;réalisation;/nos-realisations/abb-snk-3d-marine/;/realisations/abb-bloc-jonction-snk-animation-3d-fiction-marine/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/;/actualites/bluevista-creative-video-un-monde-virtuel-1-la-moto/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/decouvrez-notre-nouvelle-bande-demo-3d/;/actualites/decouvrez-notre-nouvelle-bande-demo-3d/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/nightswapping/;/realisations/nightswapping-video-promotionnelle/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/timelapse-lacleda/;/realisations/time-lapse-la-cleda/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/e-xpert-solutions-at-defense/;/realisations/e-xpert-solutions-atdefense-video-pub-fiction-humour/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/aravi-saison-2022-2023/;/realisations/aravi-saison-2022/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/;/actualites/bluevista-creative-video-une-vraie-equipe-3-la-productivite/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/cpro-pas-besoin-den-rajouter/;/realisations/c-pro-pas-besoin-d-en-rajouter-video-publicitaire/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/realisation-de-film-dentreprise-ou-corporate/;/actualites/realisation-de-film-dentreprise-ou-corporate/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/nouveau-materiel-motion-control-kessler/;/actualites/nouveau-materiel-motion-control-kessler/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/clip-report-massy-grand-ouest/;/realisations/clip-report-event-massy-grand-ouest/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/mapping-toky/;/realisations/toky-video-mapping-3d/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/cemoi-a-360/;/realisations/cemoi-video-3d-360-vr/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/icsi-briefing-debriefing-minute-darret-2/;/realisations/icsi-briefing-debriefing-minute-d-arret/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/hitachi-triple-c/;/realisations/hitachi-triple-c-film-promo/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/sfs-intec/;/realisations/sfs-enveloppe-structure/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/cpro-film-corpo/;/realisations/c-pro-film-corporate-fiction/;301;0;apparié sur le titre — forcé à la main
fr;page;/film-entreprise-lyon-15-ans-experience/;/realisation-film-entreprise-lyon/;301;0;page d’ancienneté lyonnaise → ville
fr;actualité;/actualites/live-video-homeserve-20ans/;/actualites/live-video-homeserve-20ans/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/printemps-mapping/;/realisations/printemps-video-mapping/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/tetro-deepweb/;/realisations/tetro-deepweb-clip-video-evenement/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/riso-comcolor/;/realisations/riso-comcolor-video-produit/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/30-ans-bocuse-dor-tamas-szell/;/realisations/30-ans-bocuse-d-or-interview-video-tamas-szell/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/aravi-saison-2024/;/realisations/aravi-saison-2024-reportages-video/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/;/realisations/bluevista-creative-une-vraie-equipe-3-la-productivite/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/naos-interview-collaborateur-2/;/realisations/naos-interview-collaborateur/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/streaming-live-et-webtv-demo-2018/;/actualites/streaming-live-et-webtv-demo-2018/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/hdi-demenagement-nouvelle-tour/;/realisations/hdi-demenagement-nouvelle-tour/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/abb-snk-3d-industrie/;/realisations/abb-snk-animation-3d-publicitaire-industrie/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/;/actualites/serie-de-6-videos-promotionnelles-pour-les-produits-abb-snk/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/irisolaris-presentation-groupe-2024/;/realisations/irisolaris-presentation-groupe-2024/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/ghi/;/realisations/ghi-publicite-tv/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/wall-mapping-les-mesaventures-de-toky/;/realisations/wallmapping-les-mesaventures-de-toky-animation-3d/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/un-motion-design-a-lancienne-making-of/;/actualites/un-motion-design-a-lancienne-making-of/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/sfs-enveloppe-structure/;/realisations/sfs-enveloppe-structure/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/tetro-fete-des-lumieres-2022/;/realisations/tetro-video-fete-des-lumieres-lyon-2022/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/opiiec/;/realisations/opiiec-motio-design-site-internet/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/clasquin-convention-2024/;/realisations/huiles-berliet-fooh-lyon/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/koesio-voeux-2025/;/realisations/koesio-carte-de-v-ux-video-2025/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/lyon-la-duchere-arbre-de-noel/;/realisations/lyon-la-duchere-arbre-de-noel/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/motion-design-sodexo/;/realisations/motion-design-sodexo/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/bluevista-creative-unicorn-team/;/actualites/bluevista-creative-unicorn-team/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/clip-corporate-bos-equipement/;/actualites/clip-corporate-bos-equipement/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/la-realite-virtuelle-oculus-a-bluevista/;/actualites/la-realite-virtuelle-oculus-a-bluevista/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/bluevista-motion-design/;/realisations/le-motion-design-chez-bluevista/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/amplitude-voeux-2024/;/realisations/amplitude-carte-de-v-ux-video-2024/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/artcurial-20ans/;/actualites/artcurial-20ans/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/;/actualites/realisation-de-3-clips-produit-en-studio-pour-la-societe-riso/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/sfs-menuiserie-industrie/;/realisations/sfs-menuiserie-industrie/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/mase-motion-design/;/realisations/mase-rhone-alpes-motion-design/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/icsi-briefing-debriefing-minute-darret-3/;/realisations/icsi-briefing-debriefing-minute-d-arret/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/santos-i-grind-coffee-grinder-reveal/;/realisations/santos-i-grind-coffee-grinder-reveal/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/motion-design-veama/;/realisations/veama-carte-de-voeux-2019/;301;0;apparié sur le titre — forcé à la main
fr;réalisation;/nos-realisations/tetro-carre-senart/;/realisations/tetro-carre-senart-show-drone/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/cisco-1/;/realisations/cisco-5g-motion-design-3d/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/tetro-ox/;/realisations/tetro-ox-reportage-oeuvre-artistique/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/naos-interview-collaborateur/;/realisations/naos-interview-collaborateur/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/film-de-presentation-produit/;/actualites/film-de-presentation-produit/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/neurones-it-video-voeux-2021/;/realisations/neurones-it-video-3d-voeux-2021/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/lpa-50ans/;/realisations/lpa-50ans-video-anniversaire/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/tetro-avenue-83/;/realisations/tetro-avenue-83-after-movie-event/;301;0;apparié sur le titre — sûr
fr;page;/film-corporate-lyon-depuis-2004/;/realisation-film-entreprise-lyon/;301;0;page d’ancienneté lyonnaise → ville
fr;actualité;/actualites/mecenat-club-lyon-la-duchere/;/actualites/mecenat-club-lyon-la-duchere/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/tournage-en-studio-film-produit-santos/;/actualites/tournage-en-studio-film-produit-santos/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/;/actualites/un-tournage-en-preparation-dans-le-parc-naturel-regional-du-vercors/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/projection-semi-transparente-immersive-pour-linauguration-dun-batiment/;/actualites/projection-semi-transparente-immersive-pour-linauguration-dun-batiment/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/pnr-vercors-les-chemins-de-la-liberte-la-cabane-des-carteaux/;/realisations/pnr-vercors-les-chemins-de-la-liberte-la-cabane-des-carteaux/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/e-xpert-solutions-ecd/;/realisations/e-xpert-solutions-aftermovie-ecd-2022/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/bluevista-creative-une-vraie-equipe-2-la-diversite/;/realisations/bluevista-creative-une-vraie-equipe-2-la-diversite/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/waygoo-motion-design/;/realisations/waygoo-motion-design/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/santos-film-produit/;/realisations/santos-film-produit/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/amplitude-voeux-2018/;/realisations/amplitude-carte-de-voeux-video-2018/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/sgs-protection-lab/;/realisations/sgs-protection-lab-reportage-video/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/bluevista-creative-video-une-vraie-equipe-2-la-diversite/;/actualites/bluevista-creative-video-une-vraie-equipe-2-la-diversite/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/bluevista-creative-video-une-vraie-equipe-1-la-flexibilite/;/actualites/bluevista-creative-video-une-vraie-equipe-1-la-flexibilite/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/equita-lyon-2019-daily-news/;/actualites/equita-lyon-2019-daily-news/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/show-reel-videos-drone/;/actualites/show-reel-videos-drone/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/mlt-superscrew/;/realisations/mlt-super-screw-video-motion-design/;301;0;apparié sur le titre — ⛔ à vérifier
fr;réalisation;/nos-realisations/e-xpert-solutions-devsecops/;/realisations/e-xpert-solutions-devsecops-pub-decalee/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/koesio-voeux-2022/;/realisations/koesio-carte-de-v-ux-video-2022/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/abb-af-contactor/;/realisations/abb-af-contactor-film-produit/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/convention-huawei/;/realisations/convention-huawei-video-event/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/video-magasin-american-vintage/;/realisations/video-magasin-american-vintage/;301;0;apparié sur le titre — sûr
fr;actualité;/actualites/bluevista-creative-la-pizza/;/actualites/bluevista-creative-la-pizza/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/film-dentreprise-video-15-ans-dexperience/;/actualites/film-dentreprise-video-15-ans-dexperience/;200;0;adresse conservée — c’est une actualité
fr;actualité;/actualites/motion-design-pedagogique/;/actualites/motion-design-pedagogique/;200;0;adresse conservée — c’est une actualité
fr;réalisation;/nos-realisations/funseaker-presentation/;/realisations/funseaker-presentation/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/bluevista-showreel-2024/;/realisations/bluevista-showreel-2024/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/santos-i-grind-coffee-grinder-teaser/;/realisations/santos-i-grind-coffee-grinder-teaser/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/servier-cancer-colorectal/;/realisations/servier-film-prevention-cancer-colorectal/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/e-xpert-solutions-aftermovie-ecd-2022/;/realisations/e-xpert-solutions-aftermovie-ecd-2022/;301;0;apparié sur le titre — sûr
fr;réalisation;/nos-realisations/bluevista-showreel-2023/;/realisations/bluevista-showreel-video-2023/;301;0;apparié sur le titre — sûr
